Algeria	71,2	17,6	76	90,7	93,1	49,2	20,3	37,8
Azerbaijan	63,5	27,2	67,3	35,9	93,9	40,7	7,7	21,3
Argentina	42,8	33,3	57,4	24,1	88,9	53,9	8,3	33,7
Australia	63,6	34,9	30,2	14,1	92,5	55,6	7,8	41
Armenia	68,9	31,2	70,9	57,5	96,9	42,9	9,3	27,1
Brazil	46,8	35,2	63,6	51,5	87,4	33	12,5	32,8
Belarus	59,6	10,6	45,2	15,9	88,3	42,7	8	37,1
Chile	41,3	24,4	56,3	23,8	91,7	35,1	7,4	56,1
China	74,2	15,7	38,1	2,6	85,7	46,6	10,4	21,2
Taiwan	81,1	26	60,2	17,7	90,9	44	6,7	35,5
Colombia	71	56,5	76,3	58,9	85,1	30,7	9,8	49,4
Cyprus	65	25,9	66,4	51,1	92,5	60,6	13,3	55,9
Ecuador	66,7	57,7	88,5	67,1	98,6	32,6	21,1	55,9
Estonia	51,6	12,7	53	7,6	88	50,9	5,5	40,8
Georgia	77,4	21,5	73,1	84,9	98,4	74	10,2	32,4
Palestine	58,4	10,3	64,6	87,5	95,7	43,8	16,7	27,7
Germany	40,9	23,1	39,4	13,1	77,6	50,9	10,1	31,6
Ghana	69,9	51	94,8	91,1	95,9	45,7	22,5	51,9
Haiti	15,8	31,7	66,7	28	71,4	35,9	17,2	21,7
Hong Kong	42,5	23,4	31,5	12,1	85,1	41,5	8,8	33,5
India	67,2	37,4	77,3	67,1	94,9	44,9	17	34,9
Iraq	64,1	10,5	66	84,7	92,9	47,8	12,2	16,8
Japan	15,2	32,3	52,1	5,4	90,8	45	23,5	42,3
Kazakhstan	77,2	31,2	61,9	21,5	92,4	48,4	11,6	42,3
Jordan	79,8	20,8	68,1	93,3	95,8	50,7	14,5	33,6
South Korea	63	15,2	60,8	25,7	91,3	49,3	13,3	30,8
Kuwait	74,7	41,3	75,8	86,5	93,2	54,3	31,2	33,8
Kyrgyzstan	69,3	36,2	63,7	39,3	96,5	30,5	12,3	23,6
Lebanon	48	17,9	62,4	52,9	75,1	51,9	20,8	37,1
Libya	69,3	38,5	78,9	94,9	96,9	61,3	27,7	41,4
Malaysia	80,2	56,5	82,8	84,8	97,7	44,8	17,8	39,2
Mexico	71,8	67,5	87	58,5	97,6	38,6	17	59,2
Morocco	70,8	21	82,5	88,9	90,7	35,8	6,2	16,9
Netherlands	42,4	31,9	29,5	10,7	85,5	49,6	3,3	40,4
New Zealand	43,9	33,7	35	18,7	92,9	57	7,3	47,8
Nigeria	59,6	55,6	76,8	89,8	98,4	62,2	21	52,2
Pakistan	88,2	45,6	72,8	89,5	94	42,6	8,6	16,5
Peru	57,2	35,1	69,1	49,9	85,3	23,5	12,7	37
Philippines	82,5	49,6	90,5	85,9	98,8	30,8	24,3	11,7
Poland	71,4	22,2	64,2	45,7	92,1	38,3	5,3	35
Qatar	97,8	56,4	84,5	98,9	99	72,9	29,2	42,9
Romania	65,1	13,6	55,9	50,5	93,1	22,4	5,7	34,1
Russia	52,7	14,8	45	14,3	85	34,6	6,9	29,4
Rwanda	56,5	40,6	70,5	40,3	91,7	72,1	21,1	31,4
Singapore	59,2	39,1	43,4	43,1	93,3	52,5	12,8	38,3
Slovenia	57,9	19,5	41,3	11,2	88,7	44,2	2	41,2
South Africa	47,2	39,3	57,5	55,8	92,5	44,7	21,4	36,1
Zimbabwe	49,3	39,4	85,4	83,5	97,3	37,8	20,7	38,7
Spain	28,1	15,5	62,4	10,7	91,1	52,4	5,9	44,8
Sweden	69,4	40,5	50,3	7,9	89,2	67,8	17,3	53,6
Thailand	82,2	39,7	66,6	56,6	88,6	32,3	32	26,4
Trinidad and Tobago	62,8	54,2	76,5	78,5	94,6	33,9	15,6	56,2
Tunisia	70,5	16,7	87	95,4	97,6	48,2	19,3	36
Turkey	77,5	37,5	49,6	68,1	95,4	58	16,1	41,9
Ukraine	40,3	16,1	52,6	26,3	92	44	7,4	36,9
Egypt	65,4	5,3	61	94,1	97,4	54,9	31	21,1
United States	57,7	36,1	35,6	40,4	90,9	53,5	11,2	38,9
Uruguay	49,4	34,2	63,7	20,3	88,7	51,4	11,6	48,9
Uzbekistan	80,1	64,5	71,1	34,3	97,5	52,3	16,3	29,8
Yemen	76	17,9	69,9	95,8	95,8	49,5	14,3	17
