Andorra	40,9	27,8	46	7,9	86,7	48,8	6,3	50,9
Argentina	52,7	32,4	70,4	33,1	91,4	59,4	8,4	40,1
Australia	61,4	35,2	34,5	19,2	93,7	57,6	9,6	44,8
Brazil	58,2	34	65,3	50,5	86,4	37,1	14,6	27
Bulgaria	38,5	10,7	49,7	18,4	89,4	42,2	6,9	27,6
Canada	53,2	46,2	48,2	31,8	92,4	63,1	11,7	40,7
Chile	53,1	30,5	62,3	39,6	90,2	23,6	5,6	47,2
China	79,7	18,8	43,7	5	78,1	30,3	13,3	11,4
Taiwan	85,9	21,6	62,7	12,4	91,7	39,5	6,7	34,4
Colombia	80,5	48,7	55,1	53,5	93,3	61,6	13,3	50,8
Cyprus	55,9	36,6	89,3	80,5	92,7	78,9	36,9	47,3
Ethiopia	80,4	29,7	40,1	17,6	86,7	62,2	2,6	42,6
Finland	52,3	29,5	62,2	13	86,2	58,7	11,9	37,6
France	56,5	36,3	77,9	79,5	98,7	78,1	19	39,3
Georgia	30,3	12,1	49,6	11	81,5	52,4	9,4	29,7
Germany	83,5	19,3	92,7	89,9	94,4	42,8	24,9	52
Ghana	65,4	50,1	95,1	83,6	98,4	43,9	19	59,1
Guatemala	50,1	44	26,1	5,1	55,4	33,1	3,7	23,6
Hong Kong	45,3	6,9	55,1	17,1	86,4	41,4	8,7	33,4
Hungary	69,3	17,1	67,9	49,7	90,1	42,3	14,4	23,6
India	83,6	28,9	85,3	94	97,4	56,4	10,7	22,5
Indonesia	70	25,2	76,5	78,2	93,7	29,4	20	35,9
Iran	30,3	18,1	82,2	95,6	95,9	59,7	35,5	31,2
Iraq	36,5	6,2	60,9	34	93	47	9,3	31,1
Italy	15,1	18,4	47,4	5,7	91,3	44,9	19,7	40,3
Japan	86,3	28,4	66,7	94,4	96,8	62,8	20,6	36,1
Jordan	72,2	29,8	61,9	21,1	92,3	44,5	17,7	24,1
South Korea	78,5	12,9	70,4	80,4	96,2	43,3	13,4	39,3
Malaysia	75,7	36,5	85,3	88,1	91,5	57	21,5	34
Mali	70	39	84,9	58,7	94,9	36,1	19,7	54,9
Mexico	57,4	58,3	43,4	31,7	83,1	23,1	4,6	20,8
Moldova	72,5	9,7	85,6	90,5	96	52,2	10,3	23,7
Morocco	35,3	24,6	30,9	12	80	57,6	7	55,6
Netherlands	47,5	41,8	34,6	16,6	93,3	54,9	6	48,2
New Zealand	86,1	38,1	52,8	10,5	90	65	9,9	48,8
Norway	73,2	36,6	71,2	49,1	81,4	21,9	11	32,3
Peru	64,9	27,9	61	47,2	93,6	34,7	5,2	29,8
Poland	56,6	21,3	53,5	57	85	24,1	4,1	26,1
Romania	60,3	7,3	48,4	13,1	89	37,4	7,9	29,3
Russia	90,3	10,5	63,7	38,8	63,2	49,2	16,3	44,3
Rwanda	48,2	11,9	59,9	25,3	93,2	55,2	4,7	40,4
Serbia	89	10,2	40,8	7,1	81,2	22,1	23,1	7
Vietnam	60,2	22,5	47	15,1	88,7	51,1	3,9	43,2
Slovenia	54,1	17,8	77,4	69,9	95,6	33,9	21,7	37,1
South Africa	38,6	42,7	51,9	14,8	88,9	49,3	7,6	43,5
Spain	79,7	13,6	53,2	9,3	92,1	71,3	15,5	53,6
Sweden	53	43	52,3	17,2	85,5	58,9	12,4	37,5
Switzerland	87,7	42	57	56	86	33,1	31	25,9
Thailand	63,8	40,2	83,3	76,6	95,6	40,2	11	51,5
Trinidad and Tobago	93,9	51,7	56	74,6	97,7	61,8	12,7	47,2
Turkey	56,4	37,3	39,1	17,6	86,8	37,5	8,9	29,6
Ukraine	79,5	11,3	63,1	95,4	97,7	43,2	9,1	13,3
Egypt	60,9	9,6	32,2	47	94,2	59,6	10,8	37,3
United States	73,5	34,4	89,2	82,8	94,7	55,2	17,3	19,7
Burkina Faso	41,7	24,1	69,4	22,6	89,3	51,5	12,2	42,4
Uruguay	55,7	30,3	75,7	75,6	90,9	47,6	21,1	33
Zambia	50,4	17,7	35,5	20,7	93,3	68,8	9,2	45,4
