id	name	population	fight	happiness	work	religion	family	friends	politics	leisure
CHN	China	1330141295	79,7	18,8	43,7	5	78,1	30,3	13,3	11,4
IND	India	1173108018	83,6	28,9	85,3	94	97,4	56,4	10,7	22,5
USA	United States	310232863	73,5	34,4	89,2	82,8	94,7	55,2	17,3	19,7
IDN	Indonesia	242968342	70	25,2	76,5	78,2	93,7	29,4	20	35,9
BRA	Brazil	201103330	58,2	34	65,3	50,5	86,4	37,1	14,6	27
PAK	Pakistan	177276594
BGD	Bangladesh	158065841
NGA	Nigeria	152217341
RUS	Russia	139390205	90,3	10,5	63,7	38,8	63,2	49,2	16,3	44,3
JPN	Japan	126804433	86,3	28,4	66,7	94,4	96,8	62,8	20,6	36,1
MEX	Mexico	112468855	57,4	58,3	43,4	31,7	83,1	23,1	4,6	20,8
PHL	Philippines	99900177
VNM	Vietnam	89571130	60,2	22,5	47	15,1	88,7	51,1	3,9	43,2
ETH	Ethiopia	88013491	80,4	29,7	40,1	17,6	86,7	62,2	2,6	42,6
DEU	Germany	82282988	83,5	19,3	92,7	89,9	94,4	42,8	24,9	52
EGY	Egypt	80471869	60,9	9,6	32,2	47	94,2	59,6	10,8	37,3
TUR	Turkey	77804122	56,4	37,3	39,1	17,6	86,8	37,5	8,9	29,6
COD	Congo, Democratic Republic of the	70916439
IRN	Iran	67037517	30,3	18,1	82,2	95,6	95,9	59,7	35,5	31,2
THA	Thailand	66404688	63,8	40,2	83,3	76,6	95,6	40,2	11	51,5
FRA	France	64057792	56,5	36,3	77,9	79,5	98,7	78,1	19	39,3
GBR	United Kingdom	61284806
ITA	Italy	58090681	15,1	18,4	47,4	5,7	91,3	44,9	19,7	40,3
MMR	Burma	53414374
ZAF	South Africa	49109107	38,6	42,7	51,9	14,8	88,9	49,3	7,6	43,5
KOR	Korea, South	48636068
UKR	Ukraine	45415596	79,5	11,3	63,1	95,4	97,7	43,2	9,1	13,3
COL	Colombia	44205293	80,5	48,7	55,1	53,5	93,3	61,6	13,3	50,8
SDN	Sudan	41980182
TZA	Tanzania	41892895
ARG	Argentina	41343201	52,7	32,4	70,4	33,1	91,4	59,4	8,4	40,1
