id	name	population	fight	happiness	work	religion	family	friends	politics	leisure
CHN	China	1330141295	74,2	15,7	38,1	2,6	85,7	46,6	10,4	21,2
IND	India	1173108018	67,2	37,4	77,3	67,1	94,9	44,9	17	34,9
USA	United States	310232863	57,7	36,1	35,6	40,4	90,9	53,5	11,2	38,9
IDN	Indonesia	242968342
BRA	Brazil	201103330	46,8	35,2	63,6	51,5	87,4	33	12,5	32,8
PAK	Pakistan	177276594	88,2	45,6	72,8	89,5	94	42,6	8,6	16,5
BGD	Bangladesh	158065841
NGA	Nigeria	152217341	59,6	55,6	76,8	89,8	98,4	62,2	21	52,2
RUS	Russia	139390205	52,7	14,8	45	14,3	85	34,6	6,9	29,4
JPN	Japan	126804433	15,2	32,3	52,1	5,4	90,8	45	23,5	42,3
MEX	Mexico	112468855	71,8	67,5	87	58,5	97,6	38,6	17	59,2
PHL	Philippines	99900177	82,5	49,6	90,5	85,9	98,8	30,8	24,3	11,7
VNM	Vietnam	89571130
ETH	Ethiopia	88013491
DEU	Germany	82282988	40,9	23,1	39,4	13,1	77,6	50,9	10,1	31,6
EGY	Egypt	80471869	65,4	5,3	61	94,1	97,4	54,9	31	21,1
TUR	Turkey	77804122	77,5	37,5	49,6	68,1	95,4	58	16,1	41,9
COD	Congo, Democratic Republic of the	70916439
IRN	Iran	67037517
THA	Thailand	66404688	82,2	39,7	66,6	56,6	88,6	32,3	32	26,4
FRA	France	64057792
GBR	United Kingdom	61284806
ITA	Italy	58090681
MMR	Burma	53414374
ZAF	South Africa	49109107	47,2	39,3	57,5	55,8	92,5	44,7	21,4	36,1
KOR	Korea, South	48636068
UKR	Ukraine	45415596	40,3	16,1	52,6	26,3	92	44	7,4	36,9
COL	Colombia	44205293	71	56,5	76,3	58,9	85,1	30,7	9,8	49,4
SDN	Sudan	41980182
TZA	Tanzania	41892895
ARG	Argentina	41343201	42,8	33,3	57,4	24,1	88,9	53,9	8,3	33,7
ESP	Spain	40548753	28,1	15,5	62,4	10,7	91,1	52,4	5,9	44,8
KEN	Kenya	40046566
POL	Poland	38463689	71,4	22,2	64,2	45,7	92,1	38,3	5,3	35
DZA	Algeria	34586184	71,2	17,6	76	90,7	93,1	49,2	20,3	37,8
CAN	Canada	33759742
UGA	Uganda	33398682
MAR	Morocco	31627428	70,8	21	82,5	88,9	90,7	35,8	6,2	16,9
PER	Peru	29907003	57,2	35,1	69,1	49,9	85,3	23,5	12,7	37
IRQ	Iraq	29671605	64,1	10,5	66	84,7	92,9	47,8	12,2	16,8
SAU	Saudi Arabia	29207277
AFG	Afghanistan	29121286
NPL	Nepal	28951852
UZB	Uzbekistan	27865738	80,1	64,5	71,1	34,3	97,5	52,3	16,3	29,8
VEN	Venezuela	27223228
MYS	Malaysia	26160256	80,2	56,5	82,8	84,8	97,7	44,8	17,8	39,2
GHA	Ghana	24339838	69,9	51	94,8	91,1	95,9	45,7	22,5	51,9
YEM	Yemen	23495361	76	17,9	69,9	95,8	95,8	49,5	14,3	17
TWN	Taiwan	23024956	81,1	26	60,2	17,7	90,9	44	6,7	35,5
PRK	Korea, North	22757275
